Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort
,Sveriges ambassad  Zagreb,,,,,,,+385 (1) 49 25 100,+385 (1) 49 25 125,ambassaden.zagreb@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/kroatien-zagreb,,Kroatien,Diana Madunic,Embassy of Sweden,P.P. 779,10 000 Zagreb,Kroatien,,,,Sveriges Ambassad,"Strojarska 20, 24 th floor",10 000 Zagreb,,,,,
,Sveriges ambassad Havanna,,,,,,,+53 (7) 204 28 31,+53 (7) 204 11 94,ambassaden.havanna@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/kuba-havanna,,Kuba,Tomas Wiklund,Embajada de Suecia,"# 510, Calle 34","e/5a y 7a, Miramar",La Havanna,Cuba,,,Sveriges Ambassad,"# 510, Calle 34","e/5a y 7a, Miramar",La Havanna,,,,
,Sveriges ambassad Riga,,,,,,,+371 (-) 67 68 66 00,+371 (-) 67 68 66 01,ambassaden.riga@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/lettland-riga,,Lettland,Karin Höglund,Embassy of Sweden,Andreja Pumpura Street 8,LV-1010 Riga,Lettland,,,,Sveriges Ambassad,Andreja Pumpura iela 8,1010 Riga,,,,,
,Sveriges ambassad Beirut,,,,,,,+961 (0)1 951 200,,ambassaden.beirut@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/libanon--beirut,,Libanon,Ann Dismorr,Riad el Solh,P.O. Box 11-4883,Beirut,,,,,1347 Minet el Hosn,French Avenue (bredvid Beirut Souks),"French Avenue Building, 6e våningen","Down Town, Beirut",,,,
,Sveriges ambassad Monrovia,,,,,,,+231 770 1738 01,,www.swedenabroad.se/sv/utlandsmyndigheter/liberia-monrovia,www.swedenabroad.se/Monrovia,,Liberia,Urban Sjöström,Embassy of Sweden,LCL Compound,12th St Sinkor,Oceanfront,"Monrovia, Liberia",,,LCL Compound,12th St Sinkor,Oceanfront,Monrovia,,,,
,Sveriges ambassad Vilnius,,,,,,,+370 (5) 268 50 10,+370 (5) 268 50 30,ambassaden.vilnius@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/litauen-vilnius,,Litauen,Inger Buxton,Embassy of Sweden,Didzioji g. 16,LT-01128 Vilnius,Litauen,,,,Sveriges Ambassad,Didzioji g. 16,Vilnius,,,,,
,Sveriges ambassad Skopje,,,,,,,+389 (2) 329 78 80,+389 (2) 311 20 65,ambassaden.skopje@gov.se,www.swedenabroad.se/en/embassies/north-macedonia-skopje,,Makedonien,Kristin Forsgren Bengtsson,Embassy of Sweden,8ma Udarna Brigada No. 2,1000 Skopje,Norht Macedonia,,,,Sveriges Ambassad,8ma Udarna Brigada No. 2,Skopje,,,,,
,Sveriges ambassad Kuala Lumpur,,,,,,,+60-(0)3-220 30 200,+60-(0)3-220 30 201,ambassaden.kuala-lumpur@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/malaysia-kuala-lumpur,,Malaysia,Joachim Bergström,Embassy of Sweden,P.O.Box 10239,50708 Kuala Lumpur,Malaysia,,,,Embassy of Sweden,"A-12-2 Hampshire Place Office,","157 Hampshire,","1 Jalan Mayang Sari,",50450 Kuala Lumpur,,,
,Sveriges ambassad Bamako,,,,,,,+223 20 70 70 00,+223 20 70 70 10,ambassaden.bamako@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/mali-bamako,,Mali,Kristina Kühnel,Ambassade de Suède,BP E2093,Bamako,Mali,,,,Ambassade de Suède,"Immeuble UATT, 2eme etage",Quartier du Fleuve,"Bamako, Mali",,,,
,Sveriges ambassad Rabat,,,,,,,+212 537 63 32 10,+212 537 75 80 48,ambassaden.rabat@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/marocko-rabat,,Marocko,Anne Höglund,Ambassade de Suède,P.O. Box 428,10001 Rabat,Marocko,,,,Sveriges Ambassad,"159, Avenue Mohamed IV",Rabat-Souissi,Marocko,,,,
,Sveriges ambassad Mexiko,,,,,,,+52 55-91 78 50 10,+52 55-55 40 32 53,ambassaden.mexico@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/mexico-mexico-city,,Mexiko,Gunnar Aldén,Embajada de Suecia,Paseo de las Palmas 1225,Col. Lomas de Chapultepec,11 000 México,"CDMX, México",,,Sveriges Ambassad,Paseo de las Palmas 1225,Col. Lomas de Chapultepec,México,,,,
,Sveriges ambassad Maputo,,,,,,,+258-21-480 300,,ambassaden.maputo@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/mocambique-maputo,,Moçambique,Mette Sunnergren,Embassy Of Sweden,Av. Julius Nyerere 1128,"C.P. 338, Maputo",Moçambique,,,,Sveriges Ambassad,Av. Julius Nyerere 1128,Maputo,,,,,
,Sveriges ambassad Chisinau,,,,,,,+373 22 26 73 20,+373 22 26 73 30,ambassaden.chisinau@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/moldavien-chisinau,,Moldavien,Katarina Fried,Embassy of Sweden,12 Toma Ciorba St.,MD2004,Chisinau,Moldavien,,,Sveriges ambassad,12 Toma Ciorba St.,"MD2004, Chisinau",,,,,
,Sveriges ambassad Haag,,,,,,,+31 (70) 412 02 00,+31 (70) 412 02 11,ambassaden.haag@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/nederländerna-haag,,Nederländerna,Johannes Oljelund,Embassy of Sweden,Postbus 85601,2508 CH Den Haag,Nederländerna,,,,Sveriges Ambassad,"Johan de Wittlaan 7, Plan 4",2517 JR Den Haag,,,,,
,Sveriges ambassad Abuja,,,,,,,+234 9 904 73 02,,ambassaden.abuja@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/nigeria-abuja,,Nigeria,Carl Michael Gräns,Embassy of Sweden,PMB 569,Garki,Abuja,Nigeria,,,Sveriges Ambassad,"41, T.Y. Danjuma Street (Plot 1520)","Asokoro District, Abuja",,,,,
,Sveriges ambassad Pyongyang,,,,,,,+46 8 405 10 00,,ambassaden.pyongyang@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/nordkorea-pyongyang,,Nordkorea,Andreas Bengtsson,Embassy of Sweden,UD/Pyongyang,103 55 Stockholm,,,,,Sveriges Ambassad,"Munsu-dong, Taehak Street",Taedonggang District,Pyongyang,,,,
,Sveriges ambassad Oslo,,,,,,,+47 (-) 24 11 42 00,+47 (-) 22 55 15 96,ambassaden.oslo@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/norge-oslo,,Norge,Cecilia Björner,Sveriges Ambassad,Postboks 4001 AMB,0244 Oslo,Norge,,,,Sveriges Ambassad,Inkognitogata 27,0256 Oslo,,,,,
,Sveriges ambassad Islamabad,,,,,,,+92 (51) 207 26 00,+92 (51) 207 26 60,ambassaden.islamabad@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/pakistan-islamabad,,Pakistan,Henrik Persson,Embassy of Sweden,P.O. Box 1100,Islamabad,Pakistan,,,,Sveriges Ambassad,"House No. 4, Street No. 5",Sector F-6/3,Islamabad,,,,
,Sveriges ambassad Lima,,,,,,,+511 5669240,+511 2210298,ambassaden.lima@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/peru-lima,,Peru,Maria Cramér,Calle La Santa María 120,San Isidro,Lima 27,Peru,,,,Calle La Santa María 120,San Isidro,Lima,Peru,,,,
,Sveriges ambassad Warszawa,,,,,,,+48 (22) 640 89 00,+48 (22) 640 89 83,ambassaden.warszawa@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/polen-warszawa,,Polen,Stefan Gullgren,Embassy of Sweden,ul. Bagatela 3,00-585 Warszawa,Polen,,,,Sveriges Ambassad,ul. Bagatela 3,00-585 Warszawa,,,,,
,Sveriges ambassad Lissabon,,,,,,,+351 (-) 213 942 261,,ambassaden.lissabon@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/portugal-lissabon,,Portugal,Helena Pilsas,Embaixada da Suécia,"Rua Miguel Lupi, 12-2°-Dto",1249-077 Lisboa,Portugal,,,,Embaixada da Suécia,"Rua Miguel Lupi, 12-2°-Dto",1249-077 Lisboa,,,,,
,Sveriges ambassad Doha,,,,,,,+974 4444 9500,+974 4444 3350,ambassaden.doha@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/qatar-doha,,Qatar,Anders Bengtcén,P.O.Box 22649,"West Bay, Doha",Qatar,,,,,"Palm Tower B (""Monoprix Tower"")",Suit 1302 (13th floor),West Bay,Qatar,,,,
,Sveriges ambassad Bukarest,,,,,,,+40 (21) 406 71 00,+40 (21) 406 71 24,ambassaden.bukarest@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/rumänien-bukarest,,Rumänien,Therese Hydén,Embassy of Sweden,Casuta Postala 2-142,014730 Bukarest,Rumänien,,,,Sveriges Ambassad,Sos.Pavel Kiseleff 43,011343 Bukarest,,,,,
,Sveriges ambassad Kigali,,,,,,,+250 252 59 74 00,+250 252 59 74 59,ambassaden.kigali@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/rwanda-kigali,,Rwanda,Johanna Teague,Embassy of Sweden,P.O Box 6387,Kigali,Rwanda,,,,Aurore House,Umuganda Boulevard,Kigali,,,,,
,Sveriges ambassad Moskva,,,,,,,+7 (495) 937 92 00,+7 (495) 937 92 02,ambassaden.moskva@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/ryssland-moskva,,Ryssland,Malena Mård,Embassy of Sweden,Ulitsa Mosfilmovskaja 60,119590 Moskva,Ryska federationen,,,,Sveriges Ambassad,Ulitsa Mosfilmovskaya 60,"60, metro Kievskaja, Universitet eller Lomonosovkij prospekt",Moskva,,,,
,Sveriges ambassad Riyadh,,,,,,,+966-55-330-14-41,,ambassaden.riyadh@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/saudiarabien-riyadh,,Saudiarabien,Niclas Trouvé,Embassy of Sweden,P.O. Box 94382,Riyadh 11693,Saudiarabien,,,,Sveriges Ambassad,"Tayma Street, Lenah Residential Area","Diplomatic Quarter, Byggnad nummer: 3743",Zip: 12513-8384,Riyadh,,,
,Sveriges ambassad Bern,,,,,,,+41 31 328 70 00,+41 31 328 70 01,ambassaden.bern@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/schweiz-bern,,Schweiz,Jan Knutsson,Schwedische Botschaft,"Postfach, 3001",Schweiz,,,,,Sveriges Ambassad,Bundesgasse 26,Bern,,,,,
,Sveriges FN-representation Genève,,,,,,,+41 22 908 08 00,,representationen.geneve@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/fn-genève,,Schweiz,Anna Jardfelt,Permanent Mission of Sweden to the United Nations,Case Postale 190,CH-1211 Geneva 20,Schweiz,,,,"82, rue de Lausanne",Genève,,,,,,
,Sveriges ambassad Belgrad,,,,,,,+381 (11) 20 69 200,+381 (11) 20 69 250,ambassaden.belgrad@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/serbien-belgrad,,Serbien,Annika Ben David,Embassy of Sweden,P.O.B 5,11040 Belgrad,Serbien,,,,Sveriges Ambassad,Ledi Pedzet 2,11040 Belgrade,,,,,
,Sveriges ambassad Singapore,,,,,,,+65 (-) 64 15 9720,+65 (-) 64 15 9747,ambassaden.singapore@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/singapore-singapore,,Singapore,Kent Härstedt,Embassy of Sweden,#14-03 Millenia Tower,1 Temasek Avenue,Singapore 039192,,,,Sveriges Ambassad,#14-03 Millenia Tower,1 Temasek Avenue,Singapore 039192,,,,
,Sveriges ambassad Madrid,,,,,,,+34 91 702 20 40,,ambassaden.madrid@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/spanien-madrid,,Spanien,Teppo Tauriainen,Embajada de Suecia,Calle Caracas 25,280 10 Madrid,Spanien,,,,Sveriges Ambassad,Calle Caracas 25,280 10 Madrid,,,,,
,Sveriges ambassad London,,,,,,,+44 (20) 7917 6400,+44 (20) 7724 4174,ambassaden.london@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/storbritannien-london,,Storbritannien,Mikaela Kumlin Granit,Embassy of Sweden,11 Montagu Place,London W1H 2AL,Storbritannien,,,,Sveriges Ambassad,11 Montagu Place,London W1H 2AL,,,,,
,Sveriges ambassad Khartoum,,,,,,,+249 187 18 87 00,,ambassaden.khartoum@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/sudan-khartoum,,Sudan,Signe Burgstaller,Embassy of Sweden,P.O.Box 2206,Khartoum,Sudan,,,,Sveriges ambassad,"House 70,","Street 43,",Khartoum 2,Khartoum,,,
,Sveriges ambassad Pretoria,,,,,,,+27 (12) 426 64 00,+27 (12) 426 64 64,ambassaden.pretoria@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/sydafrika-pretoria,,Sydafrika,Håkan Juholt,Embassy of Sweden,P.O. Box 13477,Hatfield 0028,Sydafrika,,,,Sveriges Ambassad,iParioli Complex,1166 Park Street,Hatfield,,,,
,Sveriges ambassad Seoul,,,,,,,+82 2 3703 3700,+82 2 3703 3701/2,ambassaden.seoul@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/sydkorea-seoul,,Sydkorea,Daniel Wolvén,Embassy of Sweden,CPO Box 3577,Seoul 04535,Republic of Korea,,,,Sveriges Ambassad,"Danam Building, 8F",10 Sowol-ro,Jung-Gu,Seoul 04527,,,
,Sveriges ambassad Damaskus,,,,,,,+963 (11) 619 09 00,,ambassaden.damaskus@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/syrien-damaskus,,Syrien,Ann Dismorr,Ambassade de Suède,P.O. Box 4266,Damascus,Syria,,,,,,,,,,,
,Sveriges ambassad Dar es Salaam,,,,,,,+255 (22) 219 65 00,+255 (22) 219 65 03,ambassaden.dar-es-salaam@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/tanzania-dar-es-salaam,,Tanzania,Anders Sjöberg,Embassy of Sweden,P.O. Box 9274,Dar es Salaam,Tanzania,,,,Sveriges Ambassad,Mirambo Street - Garden Avenue,Dar es Salaam,,,,,
,Sveriges ambassad Bangkok,,,,,,,+66 2 263 72 00 / +66 2 263 72 11,,ambassaden.bangkok@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/thailand-bangkok,,Thailand,Jon Åström Gröndahl,Embassy of Sweden,"P.O. Box 1324, Nana Post Office",Bangkok 10110,Thailand,,,,Sveriges Ambasssad,"8 våningen, One Pacific Place","140 Sukhumvit Road, mellan soi 4 och soi 6",Ambassaden ligger bredvid Landmark Hotel,,,,
,Sveriges ambassad Prag,,,,,,,+420 (-) 220 313 200,+420 (-) 220 313 240,ambassaden.prag@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/tjeckien-prag,,Tjeckien,Fredrik Jörgensen,Embassy of Sweden,P.O. Box 35,160 12 Praha 612,Tjeckien,,,,Sveriges Ambassad,Úvoz 13,Prag 1-Hradcany,,,,,
,Sveriges ambassad Tunis,,,,,,,+216 (71) 71121300,,ambassaden.tunis@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/tunisien-tunis,,Tunisien,Anna Block Mazoyer,Sveriges Ambassad Tunis,Dar Nordique,Rue du Lac Neuchâtel,1053 Les Berges du Lac,"Tunis, Tunisien",,,Dar Nordique,Rue du Lac Neuchatel,Tunis,,,,,
,Sveriges ambassad Ankara,,,,,,,+90 (312) 455 41 00,+90 (312) 455 41 20,ambassaden.ankara@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/Turkiet-Ankara,,Turkiet,Staffan Herrström,Embassy of Sweden,P.O.B. 3,06692 Kavaklidere,Ankara,Turkiet,,,Sveriges Ambassad,Katip Celebi Sokak 7,Kavaklidere,Ankara,,,,
,Sveriges generalkonsulat Istanbul,,,,,,,+90 212 334 0600,+90 212 334 0628,generalkonsulat.istanbul@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/turkiet-istanbul,,Turkiet,Peter Ericson,Consulate General of Sweden,P.K. 125,34433 Beyoglu,Istanbul,Turkiet,,,Sveriges Generalkonsulat,"(Visum, migrations-, konsulära och allmänna frågor)",Sah Kulu Bostan Sk,södra ingången,,,,
,Sveriges ambassad Berlin,,,,,,,+49 (30) 50 50 60,+49 (30) 50 50 67 89,ambassaden.berlin@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/tyskland-berlin,,Tyskland,Per Thöresson,Schwedische Botschaft,Rauchstrasse 1,10787 Berlin,Tyskland,,,,Schwedische Botschaft,Rauchstrasse 1,107 87 Berlin,,,,,
,Sveriges ambassad Kampala,,,,,,,+256 41 77 00 800,+256 41 77 00 801,ambassaden.kampala@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/uganda-kampala,,Uganda,Maria Håkansson,Embassy of Sweden,P.O. Box 22669,Kampala,Uganda,,,,Sveriges Ambassad,"Plot 24, Lumumba Avenue",Nakasero,Kampala,,,,
,Sveriges ambassad Kiev,,,,,,,+380 44 494 4270,+380 44 494 42 71,ambassaden.kiev@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/ukraina-kiev,,Ukraina,Tobias Thyberg,Embassy of Sweden,"Ivan Franka Street 34/33, 3rd floor",01901 Kiev,Ukraina,,,,Sveriges Ambassad,"Ivana Franka Street 34/33, 3rd floor",Kiev,,,,,
,Sveriges ambassad Budapest,,,,,,,+36 (1) 460 60 20,+36 (1) 460 60 21,ambassaden.budapest@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/ungern-budapest,,Ungern,Dag Hartelius,Embassy of Sweden,Kapás utca 6-12,1027 Budapest,Ungern,,,,Sveriges Ambassad,Vizíváros Office Center,"Byggnad B, plan 4",Kapás utca 6-12,1027 Budapest,,,
,Sveriges ambassad Washington,,,,,,,+1 202 467 2600,,ambassaden.washington@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/usa-washington,,USA,Karin Olofsdotter,Embassy of Sweden,"2900 K Street, N.W","Washington, DC 20007",USA,,,,2900 K Street,"N.W., Washington",,,,,,
,Sveriges generalkonsulat New York,,,,,,,+1 212 583 2560,,generalkonsulat.new-york@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/usa-new-york,,USA,Camilla Mellander,Consulate General of Sweden,One Dag Hammarskjöld Plaza,885 Second Avenue,40th floor,"New York, NY10017",,,One Dag Hammarskjöld Plaza,885 Second Avenue,vid hörnet av 47th Street på Manhattan,,,,,
,Sveriges FN-Representation New York,,,,,,,+1 212 583 2500,,representationen.new-york@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/fn-new-york,,USA,Anna-Karin Eneström,Permanent Mission of Sweden to the United Nations,885 Second Avenue,"New York, NY 10017",USA,,,,One Dag Hammarskjöld Plaza,885 Second Avenue,46th Floor,"New York, NY",,,,
,Sveriges ambassad Hanoi,,,,,,,+84 4 37260 400,+84 4 37260410,ambassaden.hanoi@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/vietnam-hanoi,,Vietnam,Ann Måwe,Embassy of Sweden,Daeha Business Center,"15th floor, 360 Kim Ma",Hanoi,Vietnam,,,Sveriges Ambassad,Dahea Business Center,15:e våningen,360 Kim Ma street,"Ba Dinh, Hanoi",,,
,Sveriges ambassad Lusaka,,,,,,,+260 211 42 61 00 / +260 777 17 72 33,+260 (211) 25 40 49,ambassaden.lusaka@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/zambia-lusaka,,Zambia,Anna-Maj Hultgård,Embassy of Sweden,P.O. Box 50264,Ridgeway,10101 Lusaka,Zambia,,,Sveriges Ambassad,"Haile Selassie Avenue,",Opposite Ndeke House,Longacres,Lusaka,,,
,Sveriges ambassad Harare,,,,,,,+263 (4) 302 636,+263 (4) 302 236,ambassaden.harare@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/zimbabwe-harare,,Zimbabwe,Åsa Pehrson,Embassy of Sweden,P.O. Box 4110,Harare,Zimbabwe,,,,Sveriges Ambassad,"32, Aberdeen Road",Avondale,Harare,,,,
,Sveriges ambassad Wien,,,,,,,+43 1-217 530,,ambassaden.wien@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/österrike-wien,,Österrike,Annika Markovic,Schwedische Botschaft,Liechtensteinstrasse 51,1090 Wien,Österrike,,,,Sveriges Ambassad,Liechtensteinstrasse 51,1090 Wien,,,,,
,Svergies delegation NATO Bryssel,,,,,,,+3227077855,,nato-delegationen.bryssel@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/nato-bryssel/kontakt/the-delegation,,Österrike,Ulrika Funeredt,Mission of Sweden to NATO,NATO HQ - MWB,Boulevard Leopold III,1110 Bryssel,Belgien,,,Sveriges delegation vid Nato,NATO HQ,"Boulevard Leopold III, (Manfred Wörner Building, Evere)",,,,,
802005-7538,FÖRSTA AP-FONDEN,BOX 16294,103 25,STOCKHOLM,REGERINGSGATAN 67,111 56,STOCKHOLM,856620200.0,,info@ap1.se,www.ap1.se,2000:192,,,,,,,,,,,,,,,,,1.0
857209-0606,ANDRA AP-FONDEN,BOX 11155,404 24,GÖTEBORG,ÖSTRA HAMNGATAN 26-28,411 09,GÖTEBORG,317042900.0,,info@ap2.se,www.ap2.se,2000:192,,,,,,,,,,,,,,,,,2.0
802014-4120,TREDJE AP-FONDEN,BOX 1176,111 91,STOCKHOLM,VASAGATAN 16  9TR,111 20,STOCKHOLM,855517100.0,,info@ap3.se,www.ap3.se,2000:192,,,,,,,,,,,,,,,,,3.0
802005-1952,FJÄRDE AP-FONDEN,BOX 3069,103 61,STOCKHOLM,JAKOBSBERGSGATAN 16,111 44,STOCKHOLM,,,info@ap4.se,www.ap4.se,2000:192,,,,,,,,,,,,,,,,,4.0
855104-0721,SJÄTTE AP-FONDEN,KÖPMANSGATAN 32,411 06,GÖTEBORG,KÖPMANSGATAN 32,411 06,GÖTEBORG,317411000.0,,info@apfond6.se,www.apfond6.se,2000:193,,,,,,,,,,,,,,,,,6.0
802406-2302,SJUNDE AP-FONDEN,BOX 100,101 21,STOCKHOLM,VASAGATAN 16,111 20,STOCKHOLM,,,info@ap7.se,www.ap7.se,,,,,,,,,,,,,,,,,,7.0
202100-0795,LUFTFARTSVERKET,,601 79,NORRKÖPING,HOSPITALSGATAN 30,602 27,NORRKÖPING,11192000,,lfv@lfv.se,www.lfv.se,2010:184,,,,,,,,,,,,,,,,,
202100-0654,SJÖFARTSVERKET,,601 78,NORRKÖPING,ÖSTRA PROMENADEN 7,602 28,NORRKÖPING,771630000,,sjofartsverket@sjofartsverket.se,www.sjofartsverket.se,2007:1161,,,,,,,,,,,,,,,,,
202100-4284,SVENSKA KRAFTNÄT,BOX 1200,172 24,SUNDBYBERG,STUREGATAN 1,172 31,SUNDBYBERG,104758000,,registrator@svk.se,www.svk.se,2007:1119,,,,,,,,,,,,,,,,,
202100-2122,ARBETSDOMSTOLEN,BOX 2018,103 11,STOCKHOLM,STORA NYGATAN 2  A-B,111 27,STOCKHOLM,86176600.0,,kansliet@arbetsdomstolen.se,www.arbetsdomstolen.se,1988:1137,,,,,,,,,,,,,,,,,1.0
202100-2742,DOMSTOLSVERKET,,551 81,JÖNKÖPING,KYRKOGATAN 32,553 16,JÖNKÖPING,36155300.0,,domstolsverket@dom.se,www.domstol.se,1988:317,,,,,,,,,,,,,,,,,4.0
202100-6313,Försvarsunderrättelsedomstolen,BOX 1097,164 25,KISTA,GULLFOSSGATAN 6,164 40,KISTA,,,undom@undom.se,www.undom.se,2009:966,,,,,,,,,,,,,,,,,5.0
202100-2742,ALINGSÅS TINGSRÄTT,BOX 126,441 23,ALINGSÅS,SÖDRA RINGGATAN 23,441 33,ALINGSÅS,32279300.0,,alingsas.tingsratt@dom.se,www.alingsastingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,ATTUNDA TINGSRÄTT,BOX 940,191 29,SOLLENTUNA,TINGSVÄGEN 11,191 61,SOLLENTUNA,856169500.0,,attunda.tingsratt@dom.se,www.attundatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,BLEKINGE TINGSRÄTT,BOX 319,371 25,KARLSKRONA,"RÅDHUSGATAN 2  RÅDHUSET, STORTORGET",371 31,KARLSKRONA,455335400.0,,blekinge.tingsratt@dom.se,www.blekingetingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,BORÅS TINGSRÄTT,BOX 270,501 13,BORÅS,Petersbergsgatan 10,504 30,BORÅS,33177000.0,,boras.tingsratt@dom.se,www.borastingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,EKSJÖ TINGSRÄTT,BOX 230,575 23,EKSJÖ,SOFIEHOLMSGATAN 7,575 33,EKSJÖ,38138400.0,,eksjo.tingsratt@dom.se,www.eksjotingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,ESKILSTUNA TINGSRÄTT,BOX 363,631 05,ESKILSTUNA,VÄSTERMARKSGATAN 18,632 20,ESKILSTUNA,164030300.0,,eskilstuna.tingsratt@dom.se,www.eskilstunatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FALU TINGSRÄTT,BOX 102,791 23,FALUN,KULLEN 4,791 31,FALUN,2348200.0,,falu.tingsratt@dom.se,www.falutingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I FALUN,BOX 45,791 21,FALUN,KULLEN 4,791 31,FALUN,233830000.0,,forvaltningsrattenifalun@dom.se,www.forvaltningsrattenifalun.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I GÖTEBORG OCH MIGRATIONSDOMS,BOX 53197,400 15,GÖTEBORG,STEN STUREGATAN 14,411 39,GÖTEBORG,317327000.0,,forvaltningsrattenigoteborg@dom.se,www.forvaltningsrattenigoteborg.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I HÄRNÖSAND,BOX 314,871 27,HÄRNÖSAND,BACKGRÄND 9,871 32,HÄRNÖSAND,611460600.0,,forvaltningsratteniharnosand@dom.se,www.forvaltningsratteniharnosand.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I JÖNKÖPING,BOX 2201,550 02,JÖNKÖPING,HAMNGATAN 15,553 16,JÖNKÖPING,36156600.0,,forvaltningsrattenijonkoping@dom.se,www.forvaltningsrattenijonkoping.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I KARLSTAD,BOX 568,651 12,KARLSTAD,RÅDHUSET STORA TORGET,652 24,KARLSTAD,54148500.0,,forvaltningsrattenikarlstad@dom.se,www.forvaltningsrattenikarlstad.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I LINKÖPING,BOX 406,581 04,LINKÖPING,BRIGADGATAN 3,587 58,LINKÖPING,13251100.0,,forvaltningsrattenilinkoping@dom.se,www.forvaltningsrattenilinkoping.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I LULEÅ OCH MIGRATIONSDOMSTOL,Box 849,971 26,LULEÅ,SKEPPSBROGATAN 43,972 31,LULEÅ,920295490.0,,forvaltningsrattenilulea@dom.se,www.forvaltningsrattenilulea.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
